state_code,household_size,household_weight,household_agi,employment_income,fed_income_tax,ca_income_tax,filing_status,is_married_couple,size_bucket,consumption_allowance,rebate_after_phaseout,excess_over_threshold,allowance_no_phaseout,allowance_phaseout
CA,2,326.37866,108492.453125,0.0,8679.0947265625,42.78216552734375,mfj,1,2,29160.0,26683.60066875,8492.453125,29160.0,26683.60066875
CA,1,460.30344,125189.4921875,123619.046875,19577.810546875,7532.7646484375,single,0,1,14580.0,0.0,75189.4921875,14580.0,0.0
CA,1,2788.158,31428.572265625,31428.572265625,1787.4287109375,207.0900421142578,single,0,1,14580.0,14580.0,0.0,14580.0,14580.0
CA,3,96.55669,43485.64453125,43476.19140625,-1071.9449462890625,4.0,mfj,1,3,34300.0,34300.0,0.0,34300.0,34300.0
CA,3,12.014449,324975.5859375,324761.90234375,47289.228515625,17872.342041015625,mfj,1,3,34300.0,0.0,224975.5859375,34300.0,0.0
CA,2,449.4088,8486.2001953125,0.0,0.0,0.0,mfj,1,2,29160.0,29160.0,0.0,29160.0,29160.0
CA,2,311.34747,115374.15625,0.0,9690.8984375,1135.0765380859375,mfj,1,2,29160.0,24676.8960375,15374.15625,29160.0,24676.8960375
CA,5,1177.2294,74005.98974609375,113142.85913085938,608.80126953125,484.5267333984375,single,0,5,35140.0,18268.590406445313,24005.98974609375,35140.0,18268.590406445313
CA,3,73.48695,33523.81005859375,33523.81005859375,1410.2857666015625,-155.7477264404297,mfj,1,3,34300.0,34300.0,0.0,34300.0,34300.0
CA,3,147.12839,563084.83203125,33523.80859375,127378.92041015625,39502.93377685547,mfj,1,3,34300.0,0.0,463084.83203125,34300.0,0.0
CA,2,533.188,74054.625,0.0,3842.0439453125,872.905029296875,mfj,1,2,29160.0,29160.0,0.0,29160.0,29160.0
CA,4,516.4885,41904.76171875,41904.76171875,3044.5712890625,-461.9495239257813,single,0,4,30000.0,30000.0,0.0,30000.0,30000.0
CA,3,4887.078,16761.904296875,16761.904296875,-5913.0,-472.7981262207031,single,0,3,24860.0,24860.0,0.0,24860.0,24860.0
CA,1,2274.578,0.0,0.0,0.0,0.0,single,0,1,14580.0,14580.0,0.0,14580.0,14580.0
CA,1,449.27917,58408.53125,0.0,3929.75927734375,1605.671875,single,0,1,14580.0,12128.0722875,8408.53125,14580.0,12128.0722875
CA,1,541.7724,0.0,0.0,0.0,0.0,single,0,1,14580.0,14580.0,0.0,14580.0,14580.0
CA,5,187.43814,55844.62890625,141428.57421875,-334.444580078125,5.0,mfj,1,5,44580.0,44580.0,0.0,44580.0,44580.0
CA,3,0.9324645,314293.3125,207428.578125,47959.40234375,16229.3955078125,mfj,1,3,34300.0,0.0,214293.3125,34300.0,0.0
CA,3,1113.1888,58192.609375,75638.09411621094,3692.095453262329,899.0731439590454,mfj,1,3,34300.0,34300.0,0.0,34300.0,34300.0
