household_agi,household_size,filing_status,household_weight,rebate_ptv,rebate_ptv_base
0.0,1,single,2492.9858,1565.0,1565.0
244547.26953125,3,mfj,3378.9421,0.0,2665.0
57465.9140625,1,single,425.53552,0.0,1565.0
183550.65625,5,mfj,23.360518,0.0,3765.0
106902.33203124999,4,single,573.67505,0.0,3215.0
300984.71875,2,mfj,269.42407,0.0,2115.0
269087.0625,2,mfj,435.7172,0.0,2115.0
31373.08984375,4,mfj,48.5228,3215.0,3215.0
0.0,1,single,4350.8047,1565.0,1565.0
360698.3984375,3,single,201.53622,0.0,2665.0
25803.925407409668,7,single,550.9285,4865.0,4865.0
20426.11328125,2,mfj,1657.5576,2115.0,2115.0
165957.8125,1,single,442.18274,0.0,1565.0
52624.30859375,3,mfj,4.9028583,135.13828125,2665.0
26867.90234375,1,single,398.57147,886.41953125,1565.0
436900.40625,5,mfj,28.652077,0.0,3765.0
23921.5859375,1,single,783.873,1475.6828125,1565.0
109677.95703125,4,mfj,340.7052,0.0,3215.0
197197.09667968747,6,single,405.66507,0.0,4315.0
356757.625,6,mfj,36.483723,0.0,4315.0
102251.4765625,2,mfj,3.6249967,0.0,2115.0
177940.671875,3,mfj,1.657896,0.0,2665.0
45510.85546875,5,single,528.54614,3765.0,3765.0
236955.28125,2,mfj,489.10104,0.0,2115.0
0.0,2,mfj,751.4079,2115.0,2115.0
49655.36328125,1,single,741.69257,0.0,1565.0
9875.408466339111,2,mfj,2381.6978,2115.0,2115.0
125210.03125,4,mfj,26.547386,0.0,3215.0
58300.05078125,1,single,10891.902,0.0,1565.0
77523.810546875,5,single,1403.3168,0.0,3765.0
50203.11328125,4,mfj,62.12968,2819.37734375,3215.0
38451.609375,2,mfj,0.14716548,769.678125,2115.0
80871.26953125,4,single,5801.053,0.0,3215.0
25144.953125,1,single,171.41574,1231.009375,1565.0
79796.2890625,1,single,21.438124,0.0,1565.0
0.0,1,single,0.960895,1565.0,1565.0
0.0,1,single,166.93256,1565.0,1565.0
18092.380859375,3,single,6168.573,2665.0,2665.0
0.0,2,single,254.083,2115.0,2115.0
0.0,5,single,173.53804,3765.0,3765.0
78042.38916015625,7,mfj,452.7265,3851.52216796875,4865.0
0.0,2,mfj,1.5962737,2115.0,2115.0
97336.6953125,4,mfj,0.87789875,0.0,3215.0
183759.84375,2,mfj,1.2453164,0.0,2115.0
237633.5625,8,mfj,611.8698,0.0,4865.0
108092.515625,2,mfj,459.33545,0.0,2115.0
66878.1171875,1,single,115.95948,0.0,1565.0
1.4575576782226562,2,mfj,11963.912,2115.0,2115.0
183342.078125,2,mfj,1269.308,0.0,2115.0
137591.837890625,4,mfj,75.05834,0.0,3215.0
46913.578125,4,mfj,416.1312,3215.0,3215.0
20064.47265625,2,mfj,11.752692,2115.0,2115.0
110938.671875,1,single,30.834757,0.0,1565.0
173421.9765625,2,mfj,155.3366,0.0,2115.0
135509.015625,4,mfj,217.39888,0.0,3215.0
0.7287788391113281,1,single,2015.8938,1565.0,1565.0
93685.7109375,1,single,694.66187,0.0,1565.0
159400.0,7,single,628.7664,0.0,4865.0
62857.875,3,single,405.3211,0.0,2665.0
152137.46875,4,mfj,7.71337,0.0,3215.0
113482.1953125,3,mfj,214.56909,0.0,2665.0
