household_agi,household_size,filing_status,household_weight,rebate_flat,rebate_flat_base
18049.455604553223,3,mfj,1566.0073,5100.0,5100.0
150573.921875,4,mfj,1524.3337,4271.303906249999,6800.0
153191.84967041016,3,mfj,98.48752,2440.407516479492,5100.0
256312.125,2,mfj,11683.745,0.0,3400.0
37245.4814453125,3,mfj,1662.1223,5100.0,5100.0
2934.06201171875,3,mfj,357.5807,5100.0,5100.0
32639.173828125,1,single,1961.4194,1700.0,1700.0
102855.140625,3,mfj,52944.844,4957.24296875,5100.0
23160.857421875,1,single,6754.769,1700.0,1700.0
127727.505859375,3,mfj,2.5057206,3713.62470703125,5100.0
184926.3125,4,mfj,405.76703,2553.684375,6800.0
69449.49609375,2,mfj,1386.3971,3400.0,3400.0
3455.8828125,2,single,102427.984,3400.0,3400.0
30592.75390625,1,single,18340.855,1700.0,1700.0
180244.69873046875,5,mfj,638.26373,4487.765063476562,8500.0
530206.927734375,8,mfj,7458.5874,0.0,13600.0
98874.5390625,1,single,625.051,0.0,1700.0
5476.0439453125,1,single,0.36390564,1700.0,1700.0
112057.255859375,4,mfj,1235.1503,6197.13720703125,6800.0
46722.8115234375,4,single,1171.7085,6800.0,6800.0
49371.2109375,5,mfj,719.5161,8500.0,8500.0
120345.4912109375,4,mfj,99.51917,5782.725439453125,6800.0
513949.625,1,single,1521.9966,0.0,1700.0
169576.1953125,4,mfj,1979.2845,3321.190234375,6800.0
41960.75,4,mfj,1533.0404,6800.0,6800.0
145457.46875,2,mfj,1.6846057,1127.1265625,3400.0
25949.986328125,2,mfj,1216.7354,3400.0,3400.0
47486.72265625,1,single,1007.2853,1700.0,1700.0
261754.38671875,3,single,11910.063,0.0,5100.0
529516.0,3,mfj,932.95886,0.0,5100.0
70120.529296875,4,single,881.30347,5793.97353515625,6800.0
130358.5,4,mfj,1098.4026,5282.075,6800.0
62090.4755859375,3,single,614.1504,4495.476220703125,5100.0
51840.39453125,3,mfj,145.46022,5100.0,5100.0
10637.576171875,1,single,82.71974,1700.0,1700.0
0.0,1,single,487.44382,1700.0,1700.0
77954.4296875,2,mfj,102.70533,3400.0,3400.0
41401.90625,3,mfj,1304.5519,5100.0,5100.0
130642.09375,2,mfj,210.71242,1867.8953124999998,3400.0
20885.00390625,2,mfj,404.21637,3400.0,3400.0
977884.7922668456,7,mfj,356.67746,0.0,11900.0
37714.28515625,3,single,822.3364,5100.0,5100.0
223495.5,2,mfj,202.76804,0.0,3400.0
214271.07286071777,3,mfj,119.53901,0.0,5100.0
0.0,1,single,1.683314,1700.0,1700.0
60245.55078125,4,mfj,755.86505,6800.0,6800.0
0.0,1,single,7.9113507,1700.0,1700.0
4.372673034667969,2,mfj,63.04662,3400.0,3400.0
142465.8046875,7,mfj,35.634247,9776.709765625,11900.0
98787.7265625,3,mfj,740.1345,5100.0,5100.0
152910.15625,2,mfj,515.02374,754.4921875,3400.0
10476.1904296875,2,single,290410.12,3400.0,3400.0
39022.5625,3,mfj,1306.3983,5100.0,5100.0
245423.40625,2,mfj,120.16708,0.0,3400.0
5924.37060546875,6,single,1845.3457,10200.0,10200.0
124319.9609375,1,single,2473.45,0.0,1700.0
57838.43359375,3,mfj,5.1497803,5100.0,5100.0
260494.21875,1,single,533.13196,0.0,1700.0
34414.6796875,4,single,1158.2053,6800.0,6800.0
0.0,2,mfj,188.85841,3400.0,3400.0
0.0,2,mfj,542.1479,3400.0,3400.0
1.4575576782226562,1,single,29.42392,1700.0,1700.0
36441.921875,1,single,449.67978,1700.0,1700.0
420324.8125,2,mfj,534.5001,0.0,3400.0
383018.97265625,4,mfj,193.30951,0.0,6800.0
57804.70703125,6,mfj,20.764816,10200.0,10200.0
105728.375,4,single,92.61698,4013.5812499999997,6800.0
13119.4755859375,4,mfj,698.3083,6800.0,6800.0
71502.953125,2,mfj,103188.62,3400.0,3400.0
81328.6875,2,mfj,25.855526,3400.0,3400.0
247897.140625,2,mfj,289.1443,0.0,3400.0
455138.3324975968,4,mfj,322.41245,0.0,6800.0
132555.703125,1,single,0.27923706,0.0,1700.0
37521.015625,5,mfj,229.60596,8500.0,8500.0
310367.625,2,mfj,190.46078,0.0,3400.0
97005.63425445557,6,single,64.81494,7849.718287277221,10200.0
147922.57360839844,3,mfj,8.752698,2703.871319580078,5100.0
0.0,1,single,47.35518,1700.0,1700.0
86031.029296875,3,mfj,5093.334,5100.0,5100.0
271696.1875,2,mfj,187.55324,0.0,3400.0
80941.79858398438,4,mfj,726.97485,6800.0,6800.0
33388.73046875,4,mfj,61.664886,6800.0,6800.0
161770.3125,4,mfj,35.797245,3711.484375,6800.0
550391.3046875,4,mfj,140.2203,0.0,6800.0
105590.28125,6,single,6.5041614,7420.4859375,10200.0
0.0,2,mfj,5.2485723,3400.0,3400.0
46459.705078125,3,mfj,288927.22,5100.0,5100.0
79710.921875,2,mfj,1653.4781,3400.0,3400.0
29654.462890625,2,mfj,90271.86,3400.0,3400.0
67939.234375,5,mfj,869.82666,8500.0,8500.0
71133.3984375,3,mfj,91582.71,5100.0,5100.0
26222.501953125,3,mfj,646064.7,5100.0,5100.0
29837.0478515625,3,mfj,322.18237,5100.0,5100.0
143010.421875,1,single,126.00025,0.0,1700.0
17370.666015625,3,mfj,13835.653,5100.0,5100.0
157123.765625,3,mfj,52.85405,2243.8117187499997,5100.0
52225.546875,4,mfj,542.6282,6800.0,6800.0
20351.771484375,3,mfj,135.29614,5100.0,5100.0
34577.9921875,2,mfj,70.79387,3400.0,3400.0
222393.984375,4,mfj,595.8849,680.30078125,6800.0
0.0,3,mfj,10.7231865,5100.0,5100.0
0.0,2,mfj,516.8443,3400.0,3400.0
148852.75,3,mfj,1.1070713,2657.3624999999997,5100.0
272958.45703125,3,mfj,508.679,0.0,5100.0
136036.267578125,2,mfj,698.9836,1598.1866210937499,3400.0
71701.3359375,2,single,15842.154,2314.9332031249996,3400.0
91218.15625,4,mfj,70.629906,6800.0,6800.0
87770.5390625,5,mfj,5908.241,8500.0,8500.0
118025.9921875,3,mfj,0.972827,4198.700390625,5100.0
261414.390625,5,mfj,49.36972,429.2804687499993,8500.0
27762.48828125,2,mfj,1043.4724,3400.0,3400.0
166529.96875,3,mfj,421.10004,1773.5015624999996,5100.0
2976.61376953125,3,mfj,75.39034,5100.0,5100.0
123265.26979446413,5,mfj,39684.195,7336.7365102767935,8500.0
135533.390625,2,single,1405.297,0.0,3400.0
610049.3125,4,mfj,1.308854,0.0,6800.0
0.7287788391113281,2,mfj,645.7043,3400.0,3400.0
2.9151153564453125,2,mfj,11.475309,3400.0,3400.0
244780.28125,2,mfj,2190.7476,0.0,3400.0
86305.28125,3,mfj,41.570366,5100.0,5100.0
438.7248420715332,2,mfj,162.7926,3400.0,3400.0
154132.8125,4,mfj,1.7682087,4093.359375,6800.0
78346.0625,3,mfj,105.48072,5100.0,5100.0
41682.234375,4,mfj,240.38756,6800.0,6800.0
119059.828125,4,mfj,552.33545,5847.00859375,6800.0
127118.2265625,1,single,24902.916,0.0,1700.0
198294.78125,2,mfj,96.78401,0.0,3400.0
